movie_id,person_id
1484,1844
1484,6039
1485,3542
1487,5397
1488,4824
1488,6144
1488,9278
1489,1290
1489,9923
1490,5331
1491,6959
1491,302
1491,3712
1492,7599
1492,4932
1494,8774
1498,2388
1499,512
1500,10025
1500,3098
1500,6123
1501,2015
1502,6283
1502,7324
1504,5791
1504,7007
1504,5041
1505,9757
1506,9757
1507,5700
1509,4225
1510,8777
1511,5271
1513,172
1514,5010
1517,2972
1518,3274
1518,6039
1519,8441
1519,2384
1520,5770
1520,7147
1521,8116
1521,6835
1524,8148
1524,4220
1525,5640
1525,6951
1527,6332
1529,6826
1529,5008
1529,4166
1529,9159
1530,711
1532,8491
1534,1985
1535,98
1537,1048
1538,2880
1540,9043
1542,9786
1544,2890
1544,3937
1545,6236
1545,3883
1545,7794
1545,836
1546,982
1548,4614
1548,7275
1549,4564
1551,10283
1552,136
1552,7667
1552,1832
1554,8827
1555,4354
1555,9487
1556,9995
1559,4742
1560,7360
1561,5145
1562,2319
1564,1863
1565,1172
1566,10099
1567,6676
1568,5457
1569,4135
1569,431
1570,8810
1570,3860
1570,9294
1571,8718
1571,61
1572,3975
1573,783
1574,5397
1575,2419
1578,9893
1579,1737
1580,1737
1581,291
1581,7191
1583,4821
1583,3611
1585,1536
1586,3076
1587,7124
1588,734
1589,22
1591,3070
1593,8575
1593,9884
1593,5545
1593,4147
1594,9608
1596,8210
1598,8922
1600,2717
1600,9720
1602,7387
1604,3733
1604,4750
1604,1147
1604,8788
1610,1711
1611,5685
1613,1359
1614,2147
1617,2837
1618,6921
1619,9286
1621,6236
1621,3883
1624,9965
1625,9368
1625,7693
1626,9927
1628,7874
1629,302
1630,8958
1631,4742
1632,1950
1634,1217
1635,3116
1635,2954
1637,10041
1637,4070
1640,9363
1641,5413
1641,6757
1645,8657
1646,431
1647,3012
1647,5966
1648,5468
1650,1055
1652,93
1653,4487
1653,6117
1654,6790
1654,4301
1655,896
1655,9647
1658,5250
1660,7735
1661,8915
1662,4747
1664,1089
1667,6096
1667,6658
1669,8116
1669,6835
1670,880
1671,5003
1673,2932
1674,1277
1675,2093
1678,1022
1678,5913
1679,729
1680,8687
1680,1457
1680,9178
1681,3967
1682,7968
1684,6511
1684,1019
1685,786
1685,4692
1686,9804
1686,9285
1687,966
1688,2332
1689,1122
1689,6851
1690,9867
1690,4185
1691,4957
1691,2048
1692,5731
1692,9428
1693,7020
1697,2747
1698,3637
1699,6205
1700,9164
1702,6533
1702,5032
1704,4711
1704,5262
1705,1973
1705,3282
1706,5053
1707,9804
1708,9804
1710,4713
1712,5343
1714,8962
1715,4179
1716,9165
1717,3126
1717,8389
1718,9625
1719,7658
1720,8583
1720,1221
1722,9797
1726,5387
1726,7404
1729,2743
1731,9375
1731,9746
1732,650
1732,1300
1732,3618
1734,8693
1737,10171
1737,2186
1739,8229
1740,8079
1743,303
1749,8015
1750,5150
1755,9384
1756,2935
1759,8394
1760,7658
1760,5328
1762,6604
1762,8340
1765,7021
1765,346
1768,47
1770,9856
1772,4317
1774,569
1774,9515
1775,2918
1776,9421
1776,4834
1777,5488
1778,9237
1779,7254
1779,9639
1780,6358
1781,9320
1783,7058
1787,5838
1791,2350
1792,3791
1793,4345
1794,2832
1797,7287
1797,1823
1798,781
1799,896
1799,5253
1799,8928
1801,5116
1802,4947
1802,7297
1806,1385
1806,3624
1806,6719
1807,9813
1808,5703
1809,7471
1809,9769
1809,4987
1810,4458
1811,3544
1812,2862
1813,4109
1813,1690
1817,2417
1820,6642
1822,2196
1826,3063
1826,5634
1828,7626
1828,2428
1828,1503
1830,3254
1831,3274
1834,210
1834,6456
1834,8670
1836,1394
1836,3385
1841,10215
1844,3065
1845,3175
1845,8176
1849,3682
1850,5525
1850,6070
1852,2453
1852,192
1853,5357
1853,6451
1855,6965
1855,8614
1855,2410
1857,4046
1858,3694
1858,6656
1858,9438
1861,5830
1861,1236
1863,7633
1863,8941
1865,7472
1865,9617
1868,6032
1872,4601
1873,6895
1874,2818
1874,9228
1874,8619
1877,2167
1877,3031
1878,4089
1878,2791
1879,8984
1880,7676
1880,1511
1881,3155
1881,493
1883,1811
1883,3063
1884,5620
1884,1749
1885,8171
1886,5391
1887,8720
1887,1653
1889,8893
1890,551
1891,5653
1892,4060
1893,205
1895,990
1895,9624
1896,2461
1896,461
1897,2721
1898,9897
1898,4130
1899,9945
1899,4263
1900,8198
1900,5961
1901,9740
1902,2225
1902,2506
1902,2772
1903,8215
1905,6933
1906,2604
1907,3151
